Team,Name,Rating,Position
Chelsea,Thibaut Courtois,86,GK
Chelsea,Branislav Ivanović,80,RB
Chelsea,Gary Cahill,82,CB
Chelsea,John Terry,84,CB
Chelsea,Azpilicueta,82,LB
Chelsea,Cesc Fàbregas,86,CM
Chelsea,Nemanja Matić,83,CD
Chelsea,Willian,83,RM
Chelsea,Pedro,83,LM
Chelsea,Eden Hazard,88,LM
Chelsea,Diego Costa,85,ST
Chelsea,Oscar,82,CA
Chelsea,Kenedy,72,LM
Chelsea,Ruben Loftus-Cheek,66,CM
Chelsea,Abdul Rahman Baba,77,LB
Chelsea,Asmir Begović,82,GK
Chelsea,Falcao,82,ST
Chelsea,Loïc Rémy,80,ST
Chelsea,Kurt Zouma,79,CB
Chelsea,Alexandre Pato,80,ST
Chelsea,Lucas Piazon,73,CA
Chelsea,Bertrand Traoré,74,ST
Chelsea,John Obi Mikel,77,CD
Chelsea,Tammy Abraham,63,ST
Chelsea,Fikayo Tomori,59,CB
Chelsea,Matt Miazga,72,CB
Chelsea,Marco Amelia,70,GK
Chelsea,Michael Hector,70,CB
Chelsea,Kasey Palmer,66,CA
Chelsea,Ola Aina,60,RB
Chelsea,Jake Clarke-Salter,60,CB
Chelsea,Charlie Colkett,59,CM
Chelsea,Bradley Collins,56,GK
Manchester City,Joe Hart,84,GK
Manchester City,Bacary Sagna,80,RB
Manchester City,Nicolás Otamendi,84,CB
Manchester City,Eliaquim Mangala,79,CB
Manchester City,Gaël Clichy,79,LB
Manchester City,Jesús Navas,80,RM
Manchester City,Yaya Touré,85,CM
Manchester City,Fernandinho,80,CM
Manchester City,David Silva,86,LM
Manchester City,Kevin De Bruyne,86,RM
Manchester City,Sergio Agüero,88,ST
Manchester City,Samir Nasri,82,LM
Manchester City,Fernando,78,CD
Manchester City,Pablo Zabaleta,82,RB
Manchester City,Angeliño,64,LB
Manchester City,Willy Caballero,77,GK
Manchester City,Kelechi Iheanacho,73,ST
Manchester City,Raheem Sterling,81,LM
Manchester City,Vincent Kompany,85,CB
Manchester City,Fabian Delph,77,CM
Manchester City,Wilfried Bony,80,ST
Manchester City,Aleksandar Kolarov,78,LB
Manchester City,Martín Demichelis,78,CB
Manchester City,Brandon Barker,66,LM
Manchester City,Manu García,66,CA
Manchester City,Thierry Ambrose,65,ST
Manchester City,Bersant Celina,65,CA
Manchester City,David Faupala,63,ST
Manchester City,Angus Gunn,63,GK
Manchester City,Aleix García,62,CM
Manchester City,Cameron Humphreys-Grant,60,CB
Manchester City,James Horsfield,53,RB
Manchester City,Tosin Adarabioyo,58,CB
Arsenal,Petr Čech,86,GK
Arsenal,Héctor Bellerín,77,RB
Arsenal,Per Mertesacker,83,CB
Arsenal,Laurent Koscielny,84,CB
Arsenal,Nacho Monreal,80,LB
Arsenal,Francis Coquelin,79,CD
Arsenal,Santi Cazorla,85,CA
Arsenal,Alexis Sánchez,86,LW
Arsenal,Alex Iwobi,69,LM
Arsenal,Mesut Özil,88,CA
Arsenal,Olivier Giroud,82,ST
Arsenal,Theo Walcott,81,LM
Arsenal,Jack Wilshere,81,CM
Arsenal,Mohamed Elneny,73,CD
Arsenal,Gabriel,78,CB
Arsenal,David Ospina,78,GK
Arsenal,Aaron Ramsey,82,CM
Arsenal,Kieran Gibbs,79,LB
Arsenal,Danny Welbeck,79,ST
Arsenal,Joel Campbell,76,RM
Arsenal,Tomáš Rosický,79,CA
Arsenal,Alex Oxlade-Chamberlain,78,RM
Arsenal,Mathieu Flamini,76,CD
Arsenal,Calum Chambers,72,RB
Arsenal,Serge Gnabry,70,RM
Arsenal,Donyell Malen,62,ST
Arsenal,Jeff Reine-Adelaïde,62,CA
Arsenal,Krystian Bielik,61,CD
Arsenal,Marcus McGuane,61,CM
Arsenal,Matt Macey,51,GK
Arsenal,Tafari Moore,59,RB
Arsenal,Daniel Crowley,58,CM
Arsenal,Julio Pleguezuelo,58,RB
Manchester Utd,De Gea,87,GK
Manchester Utd,Antonio Valencia,75,RB
Manchester Utd,Chris Smalling,83,CB
Manchester Utd,Daley Blind,79,CB
Manchester Utd,Cameron Borthwick-Jackson,67,LB
Manchester Utd,Morgan Schneiderlin,82,CD
Manchester Utd,Jesse Lingard,76,RM
Manchester Utd,Juan Mata,83,RM
Manchester Utd,Wayne Rooney,85,ST
Manchester Utd,Anthony Martial,78,LM
Manchester Utd,Marcus Rashford,69,ST
Manchester Utd,Ander Herrera,81,CM
Manchester Utd,Michael Carrick,80,CD
Manchester Utd,Adnan Januzaj,75,LM
Manchester Utd,Marcos Rojo,78,LB
Manchester Utd,Sergio Romero,76,GK
Manchester Utd,Memphis Depay,79,LM
Manchester Utd,Phil Jones,80,CB
Manchester Utd,Bastian Schweinsteiger,85,CM
Manchester Utd,Matteo Darmian,81,RB
Manchester Utd,Victor Valdés,81,GK
Manchester Utd,Ashley Young,79,LM
Manchester Utd,Marouane Fellaini,78,CM
Manchester Utd,Luke Shaw,78,LB
Manchester Utd,Andreas Pereira,69,CA
Manchester Utd,Paddy McNair,69,CB
Manchester Utd,Guillermo Varela,68,RB
Manchester Utd,Timothy Fosu-Mensah,66,CD
Manchester Utd,Sam Johnstone,65,GK
Manchester Utd,Will Keane,65,ST
Manchester Utd,Joe Riley,61,LB
Manchester Utd,Regan Poole,60,CB
Manchester Utd,Sean Goss,57,CM
Spurs,Hugo Lloris,85,GK
Spurs,Kyle Walker,79,RB
Spurs,Toby Alderweireld,82,CB
Spurs,Jan Vertonghen,82,CB
Spurs,Danny Rose,78,LB
Spurs,Eric Dier,76,CD
Spurs,Moussa Dembélé,80,CM
Spurs,Erik Lamela,80,RM
Spurs,Christian Eriksen,83,CA
Spurs,Dele Alli,77,CA
Spurs,Harry Kane,82,ST
Spurs,Nacer Chadli,78,LM
Spurs,Heung Min Son,77,LM
Spurs,Ryan Mason,75,CM
Spurs,Kevin Wimmer,78,CB
Spurs,Michel Vorm,80,GK
Spurs,Clinton N'Jié,69,ST
Spurs,Ben Davies,76,LB
Spurs,Tom Carroll,71,CM
Spurs,Josh Onomah,69,CA
Spurs,Kieran Trippier,76,RB
Spurs,Nabil Bentaleb,74,CD
Spurs,Nathan Oduwa,63,LM
Spurs,Luke McGee,61,GK
Spurs,Harry Winks,60,CM
Spurs,Kyle Walker-Peters,56,RB
Spurs,Cameron Carter-Vickers,59,CB
