MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9601,CAR,1,2,CHE,36.8,63.2,3,7,10,28,536,801,317,568,20,21,30,18,3,8,1,2,14,750.581,142.846,253.097,354.638,14,907.212,166.0,329.323,411.889
9602,FUL,2,2,CRY,66.1,33.9,5,6,15,15,717,463,496,249,21,21,33,34,6,4,1,1,14,856.464,182.616,272.848,401.0,14,776.56,144.288,274.272,358.0
9603,HUL,0,2,EVE,43,57,3,4,12,11,627,790,459,623,16,13,26,20,6,4,2,2,14,814.081,231.381,219.0,363.7,14,835.456,156.694,282.762,396.0
9604,LIV,2,1,NUFC,66.2,33.8,5,2,13,8,851,515,673,333,15,19,24,26,6,2,3,2,14,836.384,250.778,220.392,365.214,14,817.464,76.675,291.268,449.521
9605,MCFC,2,0,WHU,68.1,31.9,7,0,28,3,772,431,585,259,17,12,15,34,12,1,2,1,14,934.39,171.0,356.39,407.0,14,809.225,129.325,315.9,364.0
9606,NOR,0,2,ARS,37.7,62.3,5,8,11,14,575,859,405,680,13,18,20,23,4,4,3,1,14,819.836,93.648,356.188,370.0,14,859.148,230.624,242.524,386.0
9607,SOT,1,1,MUFC,58.5,41.5,6,2,15,9,687,569,517,369,14,18,16,35,6,2,0,6,14,832.936,151.039,296.034,385.863,14,882.119,251.335,227.784,403.0
9608,SUN,1,3,SWAN,53.3,46.7,4,4,20,8,598,548,401,344,16,23,25,32,6,3,0,0,14,804.175,87.614,361.257,355.304,14,782.32,263.227,163.175,355.918
9609,TOT,3,0,AVL,54.7,45.3,6,1,12,4,739,639,556,461,17,17,18,20,5,1,7,0,14,866.6,148.0,316.873,401.727,13,825.352,206.5,183.0,435.852
9610,WBA,1,2,STK,43,57,4,4,18,14,549,698,359,496,17,18,17,30,11,6,1,3,14,785.44,145.595,349.5,290.345,14,797.176,82.6,356.576,358.0
9599,MCFC,4,0,AVL,73.3,26.7,9,0,18,5,910,427,739,257,10,16,20,36,7,2,3,0,14,873.048,86.652,379.396,407.0,14,835.498,133.656,241.672,460.17
9600,SUN,2,0,WBA,48.3,51.7,4,3,10,13,617,647,435,467,15,11,19,16,5,0,0,1,14,820.844,72.644,387.2,361.0,14,755.083,216.798,269.241,269.044
9598,MUFC,3,1,HUL,55.3,44.7,7,2,18,2,799,657,637,511,12,20,22,13,8,0,0,1,14,799.375,66.959,437.79,294.626,14,802.592,246.092,240.0,316.5
9597,CRY,3,3,LIV,34.9,65.1,6,8,10,26,517,799,295,608,19,16,21,28,7,7,0,3,14,798.294,88.926,349.368,360.0,13,875.705,240.405,243.3,392.0
9596,CHE,0,0,NOR,71.3,28.7,4,3,23,6,878,440,650,259,11,22,27,46,5,2,4,1,14,917.191,121.0,351.191,445.0,12,810.0,55.991,313.009,441.0
9595,ARS,1,0,WBA,60.3,39.7,4,1,15,11,800,591,592,386,19,13,39,29,9,10,0,2,14,905.116,190.3,299.552,415.264,13,807.483,152.12,359.363,296.0
